"","district","area","police_count","police_var"
"1","강남구",39.5,7,0.177215189873418
"2","강동구",24.59,7,0.284668564457096
"3","강북구",23.6,5,0.211864406779661
"4","강서구",41.44,2,0.0482625482625483
"5","관악구",29.57,9,0.304362529590802
"6","광진구",17.06,2,0.117233294255569
"7","구로구",20.12,9,0.447316103379722
"8","금천구",13.02,7,0.537634408602151
"9","노원구",35.44,8,0.225733634311512
"10","도봉구",20.65,1,0.0484261501210654
"11","동대문구",14.22,9,0.632911392405063
"12","동작구",16.35,10,0.611620795107034
"13","마포구",23.85,7,0.293501048218029
"14","서대문구",17.63,2,0.113442994895065
"15","서초구",46.98,8,0.170285227756492
"16","성동구",16.86,6,0.355871886120996
"17","성북구",24.58,14,0.569568755085435
"18","송파구",33.87,10,0.295246530853263
"19","양천구",17.41,7,0.402067777139575
"20","영등포구",24.55,5,0.203665987780041
"21","용산구",21.87,5,0.228623685413809
"22","은평구",29.71,11,0.370245708515651
"23","종로구",23.91,2,0.0836470096194061
"24","중구",9.96,3,0.301204819277108
"25","중랑구",18.5,9,0.486486486486487
